source_stop_id,target_stop_id,weight,mode,line,route_short_name,route_long_name,transfer,distance_meters,estimated_time_min,data_source
LTFRB_4996,LTFRB_4273,0.5,transfer,transfer,transfer,transfer,True,23.0,0.5,derived_transfer
LTFRB_4996,LTFRB_4995,2.16,lrt,ROUTE_880872,PNR MC,Metro Commuter,False,750.4,2.16,gtfs
LTFRB_4996,LTFRB_4997,2.99,lrt,ROUTE_880872,PNR MC,Metro Commuter,False,1192.45,2.99,gtfs
LTFRB_4997,LTFRB_1930,2.94,transfer,transfer,transfer,transfer,True,220.75,2.94,derived_transfer
LTFRB_4997,LTFRB_4269,0.5,transfer,transfer,transfer,transfer,True,14.33,0.5,derived_transfer
LTFRB_4997,LTFRB_4996,2.99,lrt,ROUTE_880872,PNR MC,Metro Commuter,False,1192.45,2.99,gtfs
LTFRB_4997,LTFRB_5000,2.28,lrt,ROUTE_880872,PNR MC,Metro Commuter,False,816.02,2.28,gtfs
LTFRB_4998,LTFRB_1890,1.66,transfer,transfer,transfer,transfer,True,124.39,1.66,derived_transfer
LTFRB_4998,LTFRB_1891,2.74,transfer,transfer,transfer,transfer,True,205.2,2.74,derived_transfer
LTFRB_4998,LTFRB_4994,3.91,lrt,ROUTE_880872,PNR MC,Metro Commuter,False,1684.22,3.91,gtfs
LTFRB_4998,LTFRB_4999,2.83,lrt,ROUTE_880872,PNR MC,Metro Commuter,False,1108.82,2.83,gtfs
LTFRB_4999,LTFRB_1822,2.49,transfer,transfer,transfer,transfer,True,186.85,2.49,derived_transfer
LTFRB_4999,LTFRB_4993,4.43,lrt,ROUTE_880872,PNR MC,Metro Commuter,False,1964.68,4.43,gtfs
LTFRB_4999,LTFRB_4998,2.83,lrt,ROUTE_880872,PNR MC,Metro Commuter,False,1108.82,2.83,gtfs
LTFRB_5,LTFRB_4,2.07,jeep,LTFRB_PUJ2532,,Malinta Hagonoy via MacArthur Highway,False,171.35,2.07,gtfs
LTFRB_5,LTFRB_6,2.41,jeep,LTFRB_PUJ2477,,Baliwag Malinta,False,272.11,2.41,gtfs
LTFRB_50,LTFRB_45,2.57,jeep,LTFRB_PUJ2532,,Malinta Hagonoy via MacArthur Highway,False,322.47,2.57,gtfs
LTFRB_50,LTFRB_49,1.65,jeep,LTFRB_PUJ2543,,Malinta Sta. Maria via McArthur,False,44.48,1.65,gtfs
LTFRB_500,LTFRB_497,2.34,jeep,LTFRB_PUJ1699,,NOVALICHES-BAGONG SILANG KALIWA PH5,False,253.07,2.34,gtfs
LTFRB_5000,LTFRB_1922,2.22,transfer,transfer,transfer,transfer,True,166.65,2.22,derived_transfer
LTFRB_5000,LTFRB_1940,3.01,transfer,transfer,transfer,transfer,True,225.65,3.01,derived_transfer
LTFRB_5000,LTFRB_1948,3.3,transfer,transfer,transfer,transfer,True,247.59,3.3,derived_transfer
LTFRB_5000,LTFRB_1959,2.7,transfer,transfer,transfer,transfer,True,202.56,2.7,derived_transfer
LTFRB_5000,LTFRB_1962,3.03,transfer,transfer,transfer,transfer,True,227.06,3.03,derived_transfer
LTFRB_5000,LTFRB_1966,2.61,transfer,transfer,transfer,transfer,True,195.82,2.61,derived_transfer
LTFRB_5000,LTFRB_4267,3.16,transfer,transfer,transfer,transfer,True,237.2,3.16,derived_transfer
LTFRB_5000,LTFRB_4997,2.28,lrt,ROUTE_880872,PNR MC,Metro Commuter,False,816.02,2.28,gtfs
LTFRB_5000,LTFRB_5001,3.13,lrt,ROUTE_880872,PNR MC,Metro Commuter,False,1271.06,3.13,gtfs
LTFRB_5001,LTFRB_1951,3.28,transfer,transfer,transfer,transfer,True,245.63,3.28,derived_transfer
LTFRB_5001,LTFRB_1952,0.5,transfer,transfer,transfer,transfer,True,24.43,0.5,derived_transfer
LTFRB_5001,LTFRB_1953,2.83,transfer,transfer,transfer,transfer,True,212.07,2.83,derived_transfer
LTFRB_5001,LTFRB_1954,2.99,transfer,transfer,transfer,transfer,True,223.94,2.99,derived_transfer
LTFRB_5001,LTFRB_5000,3.13,lrt,ROUTE_880872,PNR MC,Metro Commuter,False,1271.06,3.13,gtfs
LTFRB_5001,LTFRB_5002,4.79,lrt,ROUTE_880872,PNR MC,Metro Commuter,False,2155.08,4.79,gtfs
LTFRB_5002,LTFRB_2908,0.54,transfer,transfer,transfer,transfer,True,40.3,0.54,derived_transfer
LTFRB_5002,LTFRB_2943,2.78,transfer,transfer,transfer,transfer,True,208.32,2.78,derived_transfer
LTFRB_5002,LTFRB_4276,2.33,transfer,transfer,transfer,transfer,True,174.43,2.33,derived_transfer
LTFRB_5002,LTFRB_5001,4.79,lrt,ROUTE_880872,PNR MC,Metro Commuter,False,2155.08,4.79,gtfs
LTFRB_5002,LTFRB_5004,4.8,lrt,ROUTE_880872,PNR MC,Metro Commuter,False,2159.25,4.8,gtfs
LTFRB_5004,LTFRB_2904,1.38,transfer,transfer,transfer,transfer,True,103.24,1.38,derived_transfer
